title;rating;address;metro;avg_check;breakfast;business_lunch;deleviry;parking;catering;banquets;telephone;site;restaurant_type;open_hours;positive_reviews;negative_reviews
Stoneside;0;Москва, Наставнический пер., 17, стр. 1, БЦ Bankside;['Курская', 'Чкаловская'];1700–3000 ₽;Есть;Нет;Нет;Есть;Нет;Есть;+7 955 117 26 26;http://stonesidebar.ru;['Европейская кухня', 'Бары', 'Гастробары', 'Коктейльная карта'];12:00 до 02:00;0;0
Phở Viet;0;Москва, Маросейка, 4/2, стр. 1, Центральный рынок на Маросейке;['Лубянка', 'Кузнецкий Мост', 'Китай-город'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 964 566 68 68;Нет;['Вьетнамская кухня', 'Кафе', 'Круглосуточно'];08:00 до 00:00;0;0
Seven;7.7;Москва, Дмитровский пер., 7;['Охотный Ряд', 'Театральная', 'Площадь Революции'];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Есть;+7 (495) 205 02 77;http://sevenrest.ru;['Европейская кухня', 'Итальянская кухня', 'Паназиатская кухня', 'Паста', 'Поке', 'Стейки', 'Суши', 'Японская кухня', 'Винотеки', 'Кафе', 'Пекарни'];11:00 до 23:00;0;0
Сабкафе;0;Москва, Никулинская, влад. 3а, АЗС «Нефтьмагистраль №5»;['Юго-Западная'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 544 46 45;http://www.neftm.ru;['Американская кухня', 'Европейская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд', 'Круглосуточно'];00:00 до 00:00;0;0
Burger King;0;Москва, Балаклавский просп., 5а, ТЦ «Штаер Чертаново»;['Чертановская'];До 700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Фастфуд'];08:00 до 03:00;0;0
Luca;0;Москва, Ходынский б-р, 2;[];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 915 310 01 31;Сайт;['Грузинская кухня', 'Европейская кухня', 'Паста', 'Хачапури', 'Хинкали', 'Шашлыки'];12:00 до 00:00;0;0
Пушкин;0;Москва, Красная пл., 3, ГУМ, у фонтана;['Охотный Ряд', 'Театральная', 'Площадь Революции'];1700–3000 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 (495) 025 00 33;http://gum.cafe-pushkin.ru;['Пельмени', 'Пироги', 'Русская кухня', 'Французская кухня', 'Кафе', 'Кондитерские'];10:00 до 22:00;0;0
Теремок;0;Москва, Никольская, 8/1, стр. 1;['Охотный Ряд', 'Театральная', 'Площадь Революции'];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 (495) 956 27 30 (единая справочная);http://www.teremok.ru;['Блины', 'Русская кухня', 'Кафе', 'Фастфуд'];10:00 до 23:00;0;0
Bollywood;0;Москва, Серпуховский Вал, 14;['Шаболовская', 'Тульская'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 926 444 00 20;http://restaurantbollywood.ru;['Вегетарианское меню', 'Индийская кухня'];11:45 до 00:00;0;0
KFC;0;Москва, просп. Вернадского, 6, ТЦ «Капитолий Вернадского»;['Университет'];До 700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 800 555 83 33; +7 (495) 212 00 11 (доставка);['Американская кухня', 'Бургеры', 'Сэндвичи', 'Кафе', 'Фастфуд'];09:00 до 22:00;0;0
Суши Wok;0;Москва, просп. Мира, 112;['Алексеевская'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (499) 754 44 44 (единая справочная);http://www.sushiwok.ru;['Вок', 'Итальянская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 23:00;0;0
Анненфельд;0;Москва, Уральская, 17;['Щелковская'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (495) 603 77 12;http://annenfeld.ru;['Азербайджанская кухня', 'Европейская кухня', 'Русская кухня', 'Кафе', 'Веранды'];11:00 до 23:00;0;0
Алло! Пицца;0;Москва, Ленинский р-н, пос. Лопатино, Расторгуевское ш., 5;[];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (495) 198 05 07;http://pizza-allo.ru/msk;['Европейская кухня', 'Итальянская кухня', 'Паста', 'Пицца', 'Кафе'];10:00 до 23:00;0;0
Эклерная «Клер»;1 отзыв;Москва, Сретенка, 26/1;['Сухаревская'];Нет;Нет;Нет;Есть;Есть;Нет;Нет;+7 906 779 71 14;http://www.eklernayakler.ru;['Кондитерские'];09:00 до 21:00;1;0
Kuzina;0;Москва, Лестева, 21/61, корп. 1;['Шаболовская', 'Тульская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (499) 638 69 20;http://www.kuzina.ru;['Кафе', 'Кондитерские', 'Кофейни'];08:00 до 22:00;0;0
Сыроварня Новая Рига;0;Москва, 5-й км от МКАД по Новорижскому ш., дер. Воронки, 1, корп. 4, Arkhangelskoye Outlet;[];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (495) 149 99 91;http://syrovarnya.com/novaya_riga;['Итальянская кухня', 'Паста', 'Пицца', 'Живая музыка', 'Сыроварни'];08:00 до 00:00;0;0
Космохомяк;0;Москва, Б.Дмитровка, 32, стр. 2;['Тверская', 'Пушкинская', 'Чеховская'];700–1700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 903 598 08 80;http://sidrgroup.ru/kosmo-homyak;['Европейская кухня', 'Бары', 'Живая музыка', 'Коктейльная карта'];18:00 до 03:00;0;0
Паста и баста;8.11 отзыв;Москва, Сретенский б-р, 4, стр. 2;['Чистые пруды', 'Тургеневская', 'Сретенский бульвар'];1700–3000 ₽;Нет;Нет;Есть;Нет;Нет;Есть;+7 (495) 624 52 52;Сайт;['Итальянская кухня', 'Паста', 'Пицца', 'Коктейльная карта'];12:00 до 00:00;0;1
Phở bò;0;Москва, пл. Киевского Вокзала, 2, ТРЦ «Европейский»;['Киевская'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;Нет;http://phobo.cafe;['Вьетнамская кухня', 'Кафе'];10:00 до 23:00;0;0
Матрешка-фри;0;Москва, Ярцевская, 19, МФК «Кунцево-плаза», 4 этаж;['Молодежная'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 967 195 47 47;Нет;['Европейская кухня', 'Русская кухня', 'Кафе', 'Фастфуд'];09:00 до 20:00;0;0
Presnja;0;Москва, Столярный пер., 7, стр. 1;['Улица 1905 года'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 (499) 253 94 85;Нет;['Европейская кухня', 'Итальянская кухня', 'Паста', 'Русская кухня', 'Суши', 'Японская кухня', 'Бары', 'Кафе', 'Веранды'];12:00 до 00:00;0;0
Sanctuary;0;Москва, Симоновский Вал, 2, гостиница Holiday Inn Moscow Tagansky;['Пролетарская', 'Крестьянская Застава'];Больше 3000 ₽;Есть;Есть;Нет;Есть;Нет;Есть;+7 (495) 287 14 00;http://hi-tagansky.ru/restaurant;['Европейская кухня', 'Паназиатская кухня'];07:00 до 23:00;0;0
Aloha Poke Bar;0;Москва, Ленинский просп., 109, ТРЦ «Рио Ленинский», 4 этаж;['Проспект Вернадского', 'Юго-Западная', 'Калужская', 'Воронцовская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Вегетарианское меню', 'Гавайская кухня', 'Поке'];10:00 до 22:00;0;0
Кубдари;0;Москва, Б.Спасоглинищевский пер., 9/1, стр. 1;['Китай-город'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (499) 350 86 96;Сайт;['Бургеры', 'Грузинская кухня', 'Европейская кухня', 'Стейки', 'Хачапури', 'Хинкали', 'Шашлыки', 'Кафе'];12:00 до 01:00;0;0
Вокмания;0;Москва, Профсоюзная, 129а, ТРЦ «Принц-плаза», 4 этаж;['Теплый Стан'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 255 57 57;Нет;['Вок', 'Китайская кухня', 'Паназиатская кухня', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 22:00;0;0
Christian;8.21 отзыв;Москва, Кутузовский просп., 2/1, корп. 1а;['Киевская'];Больше 3000 ₽;Есть;Нет;Есть;Есть;Нет;Есть;+7 985 999 25 69;http://christianforfriends.ru;['Авторская кухня', 'Итальянская кухня', 'Паста', 'Стейки', 'Винотеки', 'Веранды'];09:00 до 00:00;1;0
Хижина;0;Москва, Чертановская, 32б;['Южная', 'Пражская'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (495) 941 64 64;http://www.xigina.ru;['Грузинская кухня', 'Европейская кухня', 'Паровые коктейли', 'Хачапури', 'Хинкали', 'Шашлыки', 'Кафе', 'Веранды'];12:00 до 00:00;0;0
Ku: рамен-изакая-бар;7.4;Москва, Смоленская, 8, гостиница Azimut Moscow Smolenskaya;['Смоленская', 'Киевская'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (499) 652 51 91;http://denisivanov.ru/concepts/ku-ramen-izakaya-bar;['Японская кухня', 'Бары', 'Гастропабы'];12:00 до 00:00;0;0
Хлеб-мясо;0;Москва, пос. Коммунарка, Александры Монаховой, 92, корп. 3;['Бунинская аллея'];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Есть;+7 909 901 01 10;Нет;['Армянская кухня', 'Грузинская кухня', 'Европейская кухня', 'Хачапури', 'Шашлыки', 'Кафе'];10:00 до 23:00;0;0
Марфино;0;Москва, 10-й км от МКАД Дмитровского ш., дер. Еремино;[];700–1700 ₽;Есть;Нет;Есть;Есть;Есть;Есть;+7 (495) 508 40 59;Сайт;['Азербайджанская кухня', 'Грузинская кухня', 'Европейская кухня', 'Паста', 'Русская кухня', 'Хачапури', 'Банкетные залы', 'Веранды', 'Круглосуточно'];00:00 до 00:00;0;0
Хелло, Индия!;0;Москва, Кржижановского, 20/30, корп. 1;['Профсоюзная'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 (499) 391 68 60;Сайт;['Вегетарианское меню', 'Индийская кухня'];12:00 до 23:00;0;0
Delicatering;0;Москва, ;[];Нет;Нет;Нет;Нет;Нет;Есть;Есть;+7 (499) 678 32 77;http://www.delicatering.ru;[];Время работы не указан;0;0
Burger King;0;Москва, Багратионовский пр., 5, ТРЦ «Филион»;['Багратионовская', 'Фили'];До 700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];09:00 до 23:00;0;0
Крошка-картошка;0;Москва, 53-й км МКАД, гипермаркет «Ашан Марфино»;['Славянский бульвар', 'Кунцевская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 995 21 34 (единая справочная);http://www.kartoshka.com;['Русская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];09:00 до 22:00;0;0
Only Wine;0;Москва, Головинское ш., 10б;['Водный стадион'];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 916 691 41 41;http://onlywinebar.ru/mayak;['Европейская кухня', 'Паста', 'Пицца', 'Суши', 'Устрицы', 'Японская кухня', 'Бары'];10:00 до 00:00;0;0
UDC кафе Славянский бульвар;0;Москва, Кутузовский просп., 57, ТРЦ «Океания»;['Славянский бульвар'];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (499) 391 16 70;Сайт;['Бургеры', 'Европейская кухня', 'Паста', 'Торты на заказ', 'Кафе', 'Кондитерские', 'Кофейни'];10:00 до 23:00;0;0
Вкус Востока;0;Москва, 24-й км МКАД, пересечение с Каширским ш., ТРЦ Vegas, 2 этаж;['Домодедовская'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Нет;+7 (495) 727 15 22;Нет;['Азербайджанская кухня', 'Европейская кухня'];10:00 до 00:00;0;0
Novikov School;0;Москва, Б.Якиманка, 22, ТЦ «Гименей», 2 этаж;['Полянка'];700–1700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;+7 905 788 89 15;http://novikovschool.com;['Европейская кухня', 'Пироги', 'Русская кухня', 'Сэндвичи', 'Кафе', 'Кулинарные студии'];Время работы не указан;0;0
Mammina;0;Москва, пл. Киевского Вокзала, 2, ТРЦ «Европейский», 7 этаж;['Киевская'];1700–3000 ₽;Нет;Есть;Нет;Есть;Есть;Есть;+7 (499) 643 20 41;http://www.mammina.ru;['Итальянская кухня', 'Паста', 'Пицца', 'Винотеки'];12:00 до 23:00;0;0
Sedélice;0;Москва, Сходненская, 37;['Сходненская'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 968 623 28 84 (единая справочная);Сайт;['Пироги', 'Торты на заказ', 'Кондитерские', 'Пекарни'];07:00 до 22:00;0;0
Кувшин;7.7;Москва, Академика Анохина, 58;['Юго-Западная', 'Тропарево'];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 775 47 57;Сайт;['Грузинская кухня', 'Хачапури', 'Хинкали', 'Караоке', 'Кафе', 'Веранды'];12:00 до 00:00;0;0
Cofix;0;Москва, Авиамоторная, 12;['Авиамоторная'];До 700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 991 310 84 01;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];07:30 до 22:00;0;0
Чиполлино;0;Москва, Раменский р-н, пос. Родники, Трудовая, 8, стр. 1;[];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 (495) 517 74 44;Сайт;['Американская кухня', 'Бургеры', 'Европейская кухня', 'Итальянская кухня', 'Пицца', 'Суши', 'Сэндвичи', 'Японская кухня', 'Кафе'];08:00 до 21:00;0;0
M2 Органик клуб Зиларт;0;Москва, Архитектора Щусева, 3;['ЗИЛ'];1700–3000 ₽;Есть;Нет;Есть;Есть;Есть;Есть;+7 (495) 025 00 65;http://www.m2-cafe.ru/restaurants/zill;['Европейская кухня', 'Паста', 'Пицца', 'Веранды'];09:00 до 23:00;0;0
Мята Platinum;0;Москва, Цветной б-р, 5;['Цветной бульвар', 'Трубная'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 903 363 76 10;Сайт;['Грузинская кухня', 'Европейская кухня', 'Итальянская кухня', 'Паровые коктейли', 'Паста', 'Пицца', 'Русская кухня', 'Шашлыки', 'Живая музыка', 'Коктейльная карта'];12:00 до 06:00;0;0
White;0;Москва, Мякининское ш., влад. 1;['Строгино'];700–1700 ₽;Нет;Нет;Есть;Есть;Есть;Есть;+7 (499) 727 19 14;Сайт;['Грузинская кухня', 'Европейская кухня', 'Паназиатская кухня', 'Паровые коктейли', 'Пельмени', 'Пицца', 'Русская кухня', 'Узбекская кухня', 'Хачапури', 'Чебуреки', 'Шашлыки', 'Бары', 'Караоке', 'Рестораны у воды'];12:00 до 00:00;0;0
Аджария;0;Москва, Тверская, 9а, стр. 6;['Охотный Ряд', 'Тверская', 'Театральная', 'Площадь Революции', 'Пушкинская', 'Чеховская'];700–1700 ₽;Нет;Есть;Есть;Нет;Нет;Есть;+7 936 269 54 11;http://adjaria.ru;['Грузинская кухня', 'Хачапури', 'Хинкали', 'Шашлыки', 'Кафе'];12:00 до 00:00;0;0
Горыныч;7.83 отзыва;Москва, Рождественский б-р, 1, Центральный рынок;['Цветной бульвар', 'Трубная'];1700–3000 ₽;Есть;Нет;Есть;Есть;Есть;Есть;+7 (495) 937 38 11;http://gorynich.com;['Американская кухня', 'Бургеры', 'Европейская кухня', 'Итальянская кухня', 'Паста', 'Пицца', 'Стейки', 'Бары', 'Пекарни', 'Веранды'];08:00 до 02:00;1;2
Петрович;6.51 отзыв;Москва, Мясницкая, 24, стр. 3;['Чистые пруды', 'Тургеневская', 'Сретенский бульвар'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Нет;+7 (495) 623 00 82;http://club-petrovich.ru;['Европейская кухня', 'Русская кухня'];14:00 до 05:00;0;1
Крошка-картошка;0;Москва, Севастопольский просп., 11е, ТЦ «Капитолий Севастопольский»;['Крымская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 995 21 34 (единая справочная);http://www.kartoshka.com;['Русская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Шварц кайзер;0;Москва, Егорьевск, Советская, 101;[];700–1700 ₽;Нет;Есть;Нет;Есть;Есть;Есть;+7 968 079 16 55;http://www.schwarzkaiser.ru;['Европейская кухня', 'Немецкая кухня', 'Бары', 'Живая музыка', 'Пивные рестораны'];11:00 до 00:00;0;0
Cookodel Studio;0;Москва, Яблочкова, 24а;['Тимирязевская', 'Фонвизинская'];Нет;Нет;Нет;Нет;Есть;Нет;Есть;+7 (495) 006 50 65;http://cookodel.ru/studio;['Кулинарные студии'];10:00 до 20:00;0;0
Даблби;0;Москва, Цветной б-р, 15, стр. 1, универмаг «Цветной»;['Цветной бульвар', 'Трубная'];Нет;Нет;Нет;Есть;Нет;Есть;Нет;Нет;http://double-b.ru;['Кофейни'];10:00 до 22:00;0;0
Шоколадница;0;Москва, Земляной Вал, 27, стр. 1;['Курская', 'Чкаловская'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Нет;+7 (495) 730 56 17;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни'];08:00 до 23:00;0;0
Glowsubs;0;Москва, Крымский Вал, 9, в парке Горького, у фонтана;['Парк культуры', 'Октябрьская'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 (495) 212 05 20;http://www.glowsubs.ru;['Американская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 23:00;0;0
Tin;1 отзыв;Москва, Б.Бронная, 27/4;['Тверская', 'Пушкинская', 'Чеховская'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 999 914 55 77;Нет;['Чайные'];08:00 до 22:00;1;0
Додо-пицца;0;Москва, 2-й Хорошевский пр., 3а;['Беговая'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 800 333 00 60;http://dodopizza.ru;['Итальянская кухня', 'Пицца', 'Кафе', 'Фастфуд'];09:00 до 23:00;0;0
Prawn Bar;0;Москва, Мытная, 74, Даниловский рынок;['Тульская'];До 700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;+7 (495) 954 50 00;Нет;['Европейская кухня', 'Рыба и морепродукты'];09:00 до 21:00;0;0
Крылья;0;Москва, Маршала Рыбалко, 2, корп. 9;['Панфиловская'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Есть;+7 929 591 30 69;http://vk.com/gastrobar_krilya;['Европейская кухня', 'Бары'];10:00 до 00:00;0;0
Sadu;0;Москва, Б.Полянка, 17, стр. 1, гостиница Park Inn Sadu;['Полянка'];700–1700 ₽;Есть;Есть;Нет;Есть;Нет;Есть;+7 (495) 642 83 18; доб. 21 02;['Европейская кухня', 'Паста', 'Русская кухня', 'Сэндвичи', 'Кафе'];00:00 до 00:00;0;0
Хмель и эль;0;Москва, Трехпрудный пер., 4, стр. 1;['Тверская', 'Пушкинская', 'Чеховская'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Нет;+7 (495) 650 30 57;http://www.hmel-el.ru;['Европейская кухня', 'Немецкая кухня', 'Русская кухня', 'Пивные рестораны', 'Спортбары'];12:00 до 00:00;0;0
Take and Wake;0;Москва, Кутузовский просп., 36а;['Парк Победы', 'Кутузовская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;Нет;http://takeandwake.ru;['Кофейни'];08:00 до 20:00;0;0
Аруба;7.23 отзыва;Москва, Народная, 4, стр. 1;['Таганская', 'Марксистская'];1700–3000 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 977 485 78 70;http://arubabistro.ru;['Испанская кухня', 'Кубинская кухня', 'Латиноамериканская кухня', 'Мексиканская кухня', 'Поке', 'Бары', 'Живая музыка', 'Коктейльная карта', 'Рыба и морепродукты'];12:00 до 00:00;3;0
Ngon;0;Москва, Н.Арбат, 21;['Смоленская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 968 404 66 61;Нет;['Вьетнамская кухня', 'Кафе'];12:00 до 01:00;0;0
Prime;0;Москва, Садовая-Самотечная, 24/27;['Цветной бульвар', 'Трубная'];До 700 ₽;Есть;Нет;Есть;Нет;Нет;Нет;+7 (495) 664 23 63 (единая справочная);Сайт;['Вегетарианское меню', 'Европейская кухня', 'Суши', 'Сэндвичи', 'Японская кухня', 'Кафе', 'Фастфуд'];08:00 до 23:00;0;0
Кампанелло;0;Москва, Зеленодольская, 43а;['Кузьминки'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 532 05 55;Сайт;['Итальянская кухня', 'Паста', 'Пицца', 'Кафе'];12:00 до 00:00;0;0
Даблби;0;Москва, Коровий Вал, 5, БЦ «Оазис»;['Добрынинская', 'Серпуховская'];Нет;Нет;Нет;Есть;Есть;Есть;Нет;Нет;http://double-b.ru;['Кофейни'];08:00 до 21:00;0;0
Faust Bar;0;Москва, Б.Спасоглинищевский пер., 9/1, стр. 16;['Китай-город'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 967 251 75 55;Нет;['Вок', 'Европейская кухня', 'Итальянская кухня', 'Паназиатская кухня', 'Пицца', 'Бары'];15:00 до 06:00;0;0
Лимонный батискаф;0;Москва, Краснопролетарская, 7;['Новослободская', 'Менделеевская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 966 130 11 11;http://kupolparty.ru;['Торты на заказ', 'Кафе', 'Кондитерские'];10:00 до 21:00;0;0
Crafted Grill Bar Park;0;Москва, пр. Сокольнического Круга, 5, в парке «Сокольники»;['Сокольники'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 966 355 48 88;http://crafted-grillbar.ru;['Американская кухня', 'Бургеры', 'Европейская кухня', 'Бары'];12:00 до 23:00;0;0
Coffee Moments;0;Москва, Ленинская Слобода, 19, стр. 6, БЦ «Омега-плаза»;['Автозаводская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 796 81 88;http://www.coffeemoments.ru;['Пироги', 'Сэндвичи', 'Кофейни'];08:30 до 18:30;0;0
Balagan;0;Москва, Столярный пер., 3, корп. 16;['Улица 1905 года'];Больше 3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;Нет;Нет;['Русская кухня', 'Стейки', 'Коктейльная карта'];19:00 до 23:00;0;0
Koupes Bar. Кухня Кипра;0;Москва, Ленинская Слобода, 26, МЦ Roomer, фуд-молл Streat;['Автозаводская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 916 607 96 36;Нет;['Бургеры', 'Греческая кухня', 'Средиземноморская кухня', 'Кафе', 'Фастфуд'];10:00 до 23:00;0;0
Smile Berry;0;Москва, Борисовские Пруды, 10, корп. 4;['Борисово'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 915 146 90 15;Нет;['Сэндвичи', 'Кондитерские'];07:30 до 21:30;0;0
Воробушек;0;Москва, Спиридоньевский пер., 9, стр. 1, гостиница «Марко Поло Пресня», кабинет директора;['Маяковская', 'Тверская', 'Пушкинская', 'Чеховская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 918 896 16 11;Нет;['Бары'];18:00 до 00:00;0;0
Венеция;5.7;Москва, Столешников пер., 9, стр. 3;['Тверская', 'Пушкинская', 'Чеховская'];700–1700 ₽;Нет;Нет;Есть;Нет;Нет;Есть;+7 (495) 621 35 35;http://www.trattoria-venezia.ru;['Итальянская кухня', 'Паста', 'Пицца', 'Веранды'];11:00 до 00:00;0;0
Крошка-картошка;0;Москва, Ленинский просп., 109, ТРЦ «Рио Ленинский»;['Проспект Вернадского', 'Юго-Западная', 'Калужская', 'Воронцовская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 995 21 34 (единая справочная);http://www.kartoshka.com;['Русская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Теремок;0;Москва, Таганская, 1, ТЦ «Звездочка»;['Таганская', 'Марксистская'];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 (495) 956 27 30 (единая справочная);http://www.teremok.ru;['Блины', 'Русская кухня', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
